book_site,book_isbn,book_cat,book_title,book_price,book_author,book_publish,book_publish_date,book_img,book_url,crawl_time
인터파크,ISBN : 9788936433598,한국소설,채식주의자,"10,800",한강,창비(창작과비평사),발행 : 2007년 10월 30일,http://bimage.interpark.com/goods_image/6/5/6/6/201196566g.jpg,http://book.interpark.com/product/BookDisplay.do?_method=Detail&sc.shopNo=0000400000&dispNo=&sc.prdNo=201196566&sc.saNo=002001005001,2019-05-21 16:04:27.413895
인터파크,ISBN : 9788998441005,한국소설,원미동 사람들,"11,700",양귀자,쓰다,발행 : 2013년 01월 15일,http://bimage.interpark.com/goods_image/5/7/1/8/211655718g.jpg,http://book.interpark.com/product/BookDisplay.do?_method=Detail&sc.shopNo=0000400000&dispNo=&sc.prdNo=211655718&sc.saNo=002001005001,2019-05-21 16:04:27.435838
인터파크,ISBN : 9788960787049,한국소설,남방큰돌고래,"11,250",안도현,휴먼앤북스,발행 : 2019년 04월 30일,http://bimage.interpark.com/goods_image/6/2/2/5/305156225g.jpg,http://book.interpark.com/product/BookDisplay.do?_method=Detail&sc.shopNo=0000400000&dispNo=&sc.prdNo=305156225&sc.saNo=002001005001,2019-05-21 16:04:27.524598
인터파크,ISBN : 9788925565880,한국소설,제3의 시나리오 2,"13,320",김진명,알에이치코리아(RHK),발행 : 2019년 03월 11일,http://bimage.interpark.com/goods_image/8/3/9/7/303198397g.jpg,http://book.interpark.com/product/BookDisplay.do?_method=Detail&sc.shopNo=0000400000&dispNo=&sc.prdNo=303198397&sc.saNo=002001005001,2019-05-21 16:04:27.584480
인터파크,ISBN : 9788936434366,한국소설,레몬,"11,700",권여선,창비(창작과비평사),발행 : 2019년 04월 25일,http://bimage.interpark.com/goods_image/7/9/8/9/304907989g.jpg,http://book.interpark.com/product/BookDisplay.do?_method=Detail&sc.shopNo=0000400000&dispNo=&sc.prdNo=304907989&sc.saNo=002001005001,2019-05-21 16:04:27.652233
인터파크,ISBN : 9788954641630,한국소설,쇼코의 미소,"10,800",최은영,문학동네,발행 : 2016년 07월 07일,http://bimage.interpark.com/goods_image/6/1/6/4/255726164g.jpg,http://book.interpark.com/product/BookDisplay.do?_method=Detail&sc.shopNo=0000400000&dispNo=&sc.prdNo=255726164&sc.saNo=002001005001,2019-05-21 16:04:27.829209
인터파크,ISBN : 9788954655835,한국소설,젊은작가상 수상작품집 10주년 특별판,"6,930",편혜영,문학동네,발행 : 2019년 04월 05일,http://bimage.interpark.com/goods_image/1/9/2/2/303941922g.jpg,http://book.interpark.com/product/BookDisplay.do?_method=Detail&sc.shopNo=0000400000&dispNo=&sc.prdNo=303941922&sc.saNo=002001005001,2019-05-21 16:04:27.924957
인터파크,ISBN : 9788997780303,한국소설,버선발 이야기,"13,500",백기완,오마이북,발행 : 2019년 03월 15일,http://bimage.interpark.com/goods_image/5/1/6/2/303115162g.jpg,http://book.interpark.com/product/BookDisplay.do?_method=Detail&sc.shopNo=0000400000&dispNo=&sc.prdNo=303115162&sc.saNo=002001005001,2019-05-21 16:04:27.940850
인터파크,ISBN : 9788925565873,한국소설,제3의 시나리오 1,"13,320",김진명,알에이치코리아(RHK),발행 : 2019년 03월 11일,http://bimage.interpark.com/goods_image/8/2/7/5/303198275g.jpg,http://book.interpark.com/product/BookDisplay.do?_method=Detail&sc.shopNo=0000400000&dispNo=&sc.prdNo=303198275&sc.saNo=002001005001,2019-05-21 16:04:28.183710
인터파크,제품구성 : 전1권,한국소설,땀 흘리는 소설,"13,500",김혜진,창비교육,출판사 : ,http://bimage.interpark.com/goods_image/0/6/1/8/301800618g.jpg,http://book.interpark.com/product/BookDisplay.do?_method=Detail&sc.shopNo=0000400000&dispNo=&sc.prdNo=301800618&sc.saNo=002001005001,2019-05-21 16:04:28.377409
인터파크,ISBN : 9788936434120,한국소설,소년이 온다,"10,800",한강,창비(창작과비평사),발행 : 2014년 05월 19일,http://bimage.interpark.com/goods_image/0/8/1/6/216570816g.jpg,http://book.interpark.com/product/BookDisplay.do?_method=Detail&sc.shopNo=0000400000&dispNo=&sc.prdNo=216570816&sc.saNo=002001005001,2019-05-21 16:04:28.518967
인터파크,ISBN : 9788937473135,주제가 있는 문학,82년생 김지영,"11,700",조남주,민음사,발행 : 2016년 10월 14일,http://bimage.interpark.com/goods_image/2/7/6/3/260042763g.jpg,http://book.interpark.com/product/BookDisplay.do?_method=Detail&sc.shopNo=0000400000&dispNo=&sc.prdNo=260042763&sc.saNo=002001005001,2019-05-21 16:04:28.547889
인터파크,ISBN : 9788936434267,한국소설,아몬드,"10,800",손원평,창비(창작과비평사),발행 : 2017년 03월 31일,http://bimage.interpark.com/goods_image/7/6/2/8/266107628g.jpg,http://book.interpark.com/product/BookDisplay.do?_method=Detail&sc.shopNo=0000400000&dispNo=&sc.prdNo=266107628&sc.saNo=002001005001,2019-05-21 16:04:28.660627
인터파크,ISBN : 9788995151204,한국소설,난장이가 쏘아올린 작은 공,"9,900",조세희,이성과힘,발행 : 2000년 07월 10일,http://bimage.interpark.com/goods_image/8/2/5/7/498257g.jpg,http://book.interpark.com/product/BookDisplay.do?_method=Detail&sc.shopNo=0000400000&dispNo=&sc.prdNo=498257&sc.saNo=002001005001,2019-05-21 16:04:28.862578
인터파크,ISBN : 9788954655811,한국소설,2019년 제10회 젊은작가상 수상작품집,"4,950",박상영,문학동네,발행 : 2019년 04월 05일,http://bimage.interpark.com/goods_image/9/8/3/7/303939837g.jpg,http://book.interpark.com/product/BookDisplay.do?_method=Detail&sc.shopNo=0000400000&dispNo=&sc.prdNo=303939837&sc.saNo=002001005001,2019-05-21 16:04:28.920439
